# Episodes, Rewards
0.0,-11.099999999999994
1.0,-5.9
2.0,-6.4
3.0,-5.5
4.0,-9.3
5.0,-6.4
6.0,-7.500000000000001
7.0,-6.7
8.0,-6.5
9.0,-6.800000000000001
10.0,-5.8
11.0,-6.5
12.0,-7.800000000000001
13.0,-8.900000000000002
14.0,-6.0
15.0,-8.800000000000002
16.0,-8.900000000000002
17.0,-7.800000000000001
18.0,-8.3
19.0,-12.799999999999988
20.0,-7.900000000000001
21.0,-5.5
22.0,-6.7
23.0,-5.5
24.0,-6.4
25.0,-10.999999999999995
26.0,-11.699999999999992
27.0,-10.199999999999998
28.0,-6.800000000000001
29.0,-8.800000000000002
30.0,-9.7
31.0,-10.899999999999995
32.0,-6.800000000000001
33.0,-6.5
34.0,-10.199999999999998
35.0,-9.99999999999998
36.0,-6.6000000000000005
37.0,-6.5
38.0,-6.3
39.0,-7.1000000000000005
40.0,-6.800000000000001
41.0,-6.0
42.0,-6.0
43.0,-5.7
44.0,-6.4
45.0,-8.100000000000001
46.0,-6.2
47.0,-5.4
48.0,-7.600000000000001
49.0,-14.399999999999983
50.0,-6.9
51.0,-7.4
52.0,-6.5
53.0,-6.9
54.0,-10.899999999999995
55.0,-5.7
56.0,-7.900000000000001
57.0,-8.000000000000002
58.0,-9.6
59.0,-7.800000000000001
60.0,-7.0
61.0,-7.700000000000001
62.0,-9.7
63.0,-7.700000000000001
64.0,-6.3
65.0,-5.9
66.0,-7.500000000000001
67.0,-5.6
68.0,-5.8
69.0,-8.200000000000001
70.0,-14.099999999999984
71.0,-5.9
72.0,-6.7
73.0,-7.1000000000000005
74.0,-6.5
75.0,-7.700000000000001
76.0,-5.4
77.0,-7.1000000000000005
78.0,-6.6000000000000005
79.0,-5.6
80.0,-7.200000000000001
81.0,-9.100000000000001
82.0,-7.0
83.0,-6.3
84.0,-7.600000000000001
85.0,-7.200000000000001
86.0,-6.3
87.0,-6.0
88.0,-10.099999999999998
89.0,-6.2
90.0,-13.499999999999986
91.0,-6.5
92.0,-7.700000000000001
93.0,-5.8
94.0,-7.300000000000001
95.0,-9.99999999999998
96.0,-7.700000000000001
97.0,-7.4
98.0,-9.100000000000001
99.0,-9.7
100.0,-6.9
101.0,-8.000000000000002
102.0,-12.899999999999988
103.0,-6.1
104.0,-6.0
105.0,-6.4
106.0,-5.5
107.0,-6.0
108.0,-8.100000000000001
109.0,-8.700000000000003
110.0,-5.8
111.0,-8.600000000000001
112.0,-5.9
113.0,-6.0
114.0,-7.500000000000001
115.0,-6.3
116.0,-10.099999999999998
117.0,-6.7
118.0,-5.8
119.0,-8.600000000000001
120.0,-8.400000000000002
121.0,-6.5
122.0,-6.6000000000000005
123.0,-9.5
124.0,-6.9
125.0,-8.3
126.0,-8.800000000000002
127.0,-6.1
128.0,-6.3
129.0,-6.1
130.0,-9.100000000000001
131.0,-6.9
132.0,-10.099999999999998
133.0,-8.500000000000002
134.0,-8.900000000000002
135.0,-6.800000000000001
136.0,-7.200000000000001
137.0,-6.1
138.0,-11.699999999999992
139.0,-7.0
140.0,-10.699999999999996
141.0,-11.299999999999994
142.0,-6.2
143.0,-9.000000000000002
144.0,-5.9
145.0,-8.700000000000003
146.0,-7.600000000000001
147.0,-5.9
148.0,-5.7
149.0,-8.200000000000001
150.0,-9.200000000000001
151.0,-7.0
152.0,-7.200000000000001
153.0,-10.399999999999997
154.0,-6.1
155.0,-5.7
156.0,-8.3
157.0,-6.3
158.0,-7.4
159.0,-7.1000000000000005
160.0,-7.500000000000001
161.0,-6.5
162.0,-5.9
163.0,-5.8
164.0,-7.800000000000001
165.0,-7.0
166.0,-6.5
167.0,-7.200000000000001
168.0,-9.999999999999998
169.0,-8.700000000000003
170.0,-6.1
171.0,-6.4
172.0,-6.800000000000001
173.0,-8.100000000000001
174.0,-7.200000000000001
175.0,-8.3
176.0,-6.1
177.0,-8.100000000000001
178.0,-10.799999999999995
179.0,-5.6
180.0,-9.799999999999999
181.0,-9.000000000000002
182.0,-9.99999999999998
183.0,-11.199999999999994
184.0,-8.000000000000002
185.0,-11.699999999999992
186.0,-6.0
187.0,-10.199999999999998
188.0,-9.000000000000002
189.0,-8.500000000000002
190.0,-6.5
191.0,-8.500000000000002
192.0,-6.6000000000000005
193.0,-8.000000000000002
194.0,-9.6
195.0,-9.000000000000002
196.0,-5.4
197.0,-6.9
198.0,-5.8
