# Episodes, Rewards
0.0,-5.8
1.0,-5.2
2.0,-5.6
3.0,-5.1
4.0,-5.9
5.0,-5.7
6.0,-6.3
7.0,-5.8
8.0,-5.4
9.0,-5.5
10.0,-5.5
11.0,-5.4
12.0,-5.3
13.0,-5.2
14.0,-5.2
15.0,-5.6
16.0,-5.8
17.0,-5.2
18.0,-5.5
19.0,-7.300000000000001
20.0,-5.6
21.0,-6.1
22.0,-5.2
23.0,-5.4
24.0,-5.4
25.0,-5.7
26.0,-5.7
27.0,-6.1
28.0,-5.4
29.0,-5.1
30.0,-5.7
31.0,-6.2
32.0,-5.5
33.0,-6.4
34.0,-5.6
35.0,-5.3
36.0,-5.3
37.0,-5.2
38.0,-5.5
39.0,-5.3
40.0,-6.1
41.0,-7.800000000000001
42.0,-5.2
43.0,-5.2
44.0,-5.6
45.0,-6.0
46.0,-5.5
47.0,-6.2
48.0,-5.6
49.0,-5.2
50.0,-6.4
51.0,-5.2
52.0,-5.2
53.0,-5.4
54.0,-5.4
55.0,-5.6
56.0,-7.200000000000001
57.0,-5.5
58.0,-5.1
59.0,-5.9
60.0,-6.4
61.0,-5.1
62.0,-5.4
63.0,-5.3
64.0,-6.1
65.0,-5.5
66.0,-5.8
67.0,-6.2
68.0,-5.2
69.0,-5.5
70.0,-5.3
71.0,-6.4
72.0,-5.8
73.0,-5.8
74.0,-5.5
75.0,-5.5
76.0,-5.7
77.0,-5.6
78.0,-5.4
79.0,-5.8
80.0,-6.5
81.0,-5.6
82.0,-5.1
83.0,-5.6
84.0,-5.1
85.0,-5.7
86.0,-5.8
87.0,-5.1
88.0,-5.7
89.0,-5.3
90.0,-5.4
91.0,-5.2
92.0,-5.7
93.0,-6.1
94.0,-5.3
95.0,-6.2
96.0,-5.1
97.0,-5.6
98.0,-6.0
99.0,-5.2
100.0,-5.2
101.0,-6.2
102.0,-6.6000000000000005
103.0,-5.4
104.0,-5.6
105.0,-5.1
106.0,-5.2
107.0,-5.6
108.0,-6.0
109.0,-6.0
110.0,-5.1
111.0,-5.1
112.0,-7.700000000000001
113.0,-6.4
114.0,-9.7
115.0,-5.5
116.0,-5.4
117.0,-5.1
118.0,-5.2
119.0,-6.9
120.0,-5.1
121.0,-7.0
122.0,-0.30000000000000004
123.0,-5.4
124.0,-5.6
125.0,-5.7
126.0,-5.1
127.0,-5.5
128.0,-6.1
129.0,-6.2
130.0,-5.2
131.0,-5.5
132.0,-6.2
133.0,-5.3
134.0,-5.3
135.0,-5.7
136.0,-5.5
137.0,-5.3
138.0,-5.6
139.0,-1.4000000000000008
140.0,-5.3
141.0,-5.5
142.0,-5.4
143.0,-5.1
144.0,-7.1000000000000005
145.0,-5.1
146.0,-5.2
147.0,-5.4
148.0,-5.5
149.0,-5.3
150.0,-5.4
151.0,-5.5
152.0,-5.2
153.0,-5.4
154.0,-5.2
155.0,-5.6
156.0,-1.3000000000000007
157.0,-5.1
158.0,-5.5
159.0,-5.5
160.0,-5.9
161.0,-5.1
162.0,-5.2
163.0,-5.2
164.0,-5.4
165.0,-5.7
166.0,-5.8
167.0,-5.3
168.0,-5.6
169.0,-6.1
170.0,-5.8
171.0,-5.3
172.0,-5.1
173.0,-5.9
174.0,-5.6
175.0,-5.5
176.0,-6.9
177.0,-6.3
178.0,-5.9
179.0,-5.8
180.0,-6.2
181.0,-5.3
182.0,-5.1
183.0,-5.6
184.0,-5.3
185.0,-2.2000000000000015
186.0,-5.3
187.0,-5.1
188.0,-6.0
189.0,-5.4
190.0,-5.3
191.0,-5.3
192.0,-5.1
193.0,-5.2
194.0,-5.1
195.0,-5.6
196.0,-5.2
197.0,-6.4
198.0,-5.6
199.0,-5.1
200.0,-5.4
201.0,-5.3
202.0,-6.0
203.0,-5.6
204.0,-6.0
205.0,-5.7
206.0,-1.0000000000000004
207.0,-6.4
208.0,-5.7
209.0,-5.2
210.0,-6.0
211.0,-5.1
212.0,-5.1
213.0,-5.3
214.0,-5.5
215.0,-6.2
216.0,-5.8
217.0,-5.6
218.0,-5.1
219.0,-5.7
220.0,-5.4
221.0,-5.1
222.0,-5.3
223.0,-5.4
224.0,-5.4
225.0,-5.3
226.0,-5.3
227.0,-5.6
228.0,-5.9
229.0,-5.1
230.0,-6.4
231.0,-5.5
232.0,-6.1
233.0,-5.5
234.0,-5.6
235.0,-5.7
236.0,-7.0
237.0,-5.7
238.0,-5.6
239.0,-5.3
240.0,-5.4
241.0,-6.1
242.0,-5.1
243.0,0.20000000000000007
244.0,-5.1
245.0,-6.0
246.0,-7.4
247.0,-5.3
248.0,-6.0
249.0,-5.1
250.0,-6.0
251.0,-5.3
252.0,-5.2
253.0,-6.3
254.0,-5.6
255.0,-6.0
256.0,-5.6
257.0,-5.4
258.0,-5.1
259.0,-5.3
260.0,-5.1
261.0,-7.4
262.0,-5.1
263.0,-5.8
264.0,-5.3
265.0,-5.1
266.0,-7.0
267.0,-5.8
268.0,-6.0
269.0,-5.1
270.0,-5.3
271.0,-5.5
272.0,-5.4
273.0,-5.3
274.0,-5.3
275.0,-6.1
276.0,-5.6
277.0,-5.9
278.0,-5.2
279.0,-6.800000000000001
280.0,-5.8
281.0,-5.5
282.0,-5.9
283.0,-6.3
284.0,-5.7
285.0,-5.3
286.0,-6.9
287.0,-5.4
288.0,-5.6
289.0,-5.1
290.0,-6.2
291.0,-5.1
292.0,-5.4
293.0,-5.7
294.0,-5.1
295.0,-5.3
296.0,-5.6
297.0,-5.3
298.0,-5.1
299.0,-6.7
300.0,-6.7
301.0,-5.1
302.0,-5.5
303.0,-5.3
304.0,-6.4
305.0,-5.5
306.0,-6.3
307.0,-7.4
308.0,-5.1
309.0,-5.5
310.0,-5.2
311.0,-5.4
312.0,-5.4
313.0,0.4
314.0,-5.6
315.0,-5.4
316.0,-5.4
317.0,-5.1
318.0,-6.2
319.0,-5.6
320.0,-5.5
321.0,-5.1
322.0,-5.5
323.0,-5.8
324.0,-0.19999999999999996
325.0,-5.1
326.0,-6.800000000000001
327.0,-5.3
328.0,-5.5
329.0,-5.9
330.0,-5.2
331.0,-6.3
332.0,-6.5
333.0,-6.3
334.0,-5.1
335.0,-5.3
336.0,-5.4
337.0,-5.2
338.0,-5.4
339.0,-5.3
340.0,-7.500000000000001
341.0,-5.5
342.0,-5.6
343.0,-5.2
344.0,-5.1
345.0,-5.2
346.0,-0.8000000000000005
347.0,-5.1
348.0,-5.7
349.0,0.10000000000000009
350.0,-5.3
351.0,-5.8
352.0,-5.3
353.0,-5.1
354.0,-5.2
355.0,-5.2
356.0,-5.1
357.0,-5.6
358.0,-5.1
359.0,-5.1
360.0,-6.0
361.0,-5.4
362.0,-5.1
363.0,-5.6
364.0,-5.1
365.0,-6.6000000000000005
366.0,-5.4
367.0,-5.1
368.0,-5.5
369.0,-5.7
370.0,-5.8
371.0,-5.1
372.0,-6.3
373.0,-5.5
374.0,-6.0
375.0,-5.8
376.0,0.20000000000000007
377.0,-5.6
378.0,-5.6
379.0,-6.4
380.0,-5.1
381.0,0.30000000000000004
382.0,-5.8
383.0,0.5
384.0,-5.1
385.0,-5.6
386.0,-5.1
387.0,-5.2
388.0,-5.5
389.0,-5.3
390.0,-5.3
391.0,-5.6
392.0,-6.1
393.0,-5.3
394.0,-5.6
395.0,-5.9
396.0,-5.4
397.0,-5.4
398.0,-5.3
399.0,-5.3
400.0,-6.2
401.0,-5.9
402.0,-5.6
403.0,-5.5
404.0,-5.8
405.0,-5.9
406.0,-5.5
407.0,-5.6
408.0,-5.1
409.0,-5.1
410.0,-5.1
411.0,-5.9
412.0,-5.6
413.0,-6.6000000000000005
414.0,-6.2
415.0,-5.3
416.0,-5.4
417.0,-6.5
418.0,-5.7
419.0,0.20000000000000007
420.0,-5.3
421.0,-5.1
422.0,-5.5
423.0,-5.9
424.0,-6.1
425.0,-5.1
426.0,-5.4
427.0,-5.3
428.0,-5.1
429.0,-6.5
430.0,-6.1
431.0,-5.5
432.0,-5.9
433.0,-6.9
434.0,-6.800000000000001
435.0,-5.1
436.0,-6.1
437.0,-5.3
438.0,-5.3
439.0,-5.2
440.0,-6.2
441.0,-5.3
442.0,-6.1
443.0,-5.2
444.0,-5.4
445.0,-5.6
446.0,-6.3
447.0,-6.4
448.0,-6.2
449.0,-5.1
450.0,-5.1
451.0,-6.6000000000000005
452.0,-5.1
453.0,-5.2
454.0,-7.900000000000001
455.0,-5.7
456.0,-6.0
457.0,-6.4
458.0,-5.9
459.0,-6.7
460.0,-6.4
461.0,-5.3
462.0,-5.5
463.0,-5.3
464.0,-5.2
465.0,-5.1
466.0,-5.1
467.0,-6.5
468.0,-5.1
469.0,-0.40000000000000013
470.0,-5.4
471.0,-5.6
472.0,-5.2
473.0,-6.1
474.0,-5.1
475.0,0.30000000000000004
476.0,-5.1
477.0,-0.5000000000000002
478.0,-5.1
479.0,-5.1
480.0,-5.4
481.0,-5.1
482.0,-5.4
483.0,-5.7
484.0,-5.2
485.0,-5.4
486.0,-5.4
487.0,0.5
488.0,-5.4
489.0,-5.5
490.0,-5.1
491.0,-5.3
492.0,-6.0
493.0,-5.4
494.0,-5.9
495.0,-5.1
496.0,-5.2
497.0,-5.4
498.0,-5.8
499.0,-6.9
500.0,-7.700000000000001
501.0,-5.9
502.0,-5.3
503.0,-5.1
504.0,-6.9
505.0,-8.100000000000001
506.0,-5.1
507.0,-5.4
508.0,-5.6
509.0,-5.3
510.0,-5.2
511.0,-5.5
512.0,-5.3
513.0,-5.5
514.0,-5.4
515.0,-6.1
516.0,-5.6
517.0,-5.7
518.0,-5.3
519.0,-5.1
520.0,-5.3
521.0,-5.1
522.0,-6.2
523.0,-5.9
524.0,-5.6
525.0,-5.6
526.0,-5.9
527.0,-5.5
528.0,-5.6
529.0,-5.4
530.0,-5.1
531.0,0.20000000000000007
532.0,-5.1
533.0,-5.1
534.0,-5.1
535.0,-5.5
536.0,-5.4
537.0,-6.0
538.0,0.30000000000000004
539.0,-5.2
540.0,-5.4
541.0,-5.9
542.0,-5.8
543.0,-5.1
544.0,-5.6
545.0,-5.3
546.0,-5.2
547.0,-5.4
548.0,-5.6
549.0,-5.1
550.0,-5.2
551.0,-5.8
552.0,-5.1
553.0,-5.1
554.0,-5.9
555.0,-5.2
556.0,-5.5
557.0,-0.09999999999999987
558.0,-5.3
559.0,-5.1
560.0,-5.7
561.0,-5.1
562.0,-6.7
563.0,-5.4
564.0,-0.09999999999999987
565.0,0.10000000000000009
566.0,-5.1
567.0,-5.4
568.0,-6.2
569.0,-5.5
570.0,-5.3
571.0,-5.3
572.0,-5.6
573.0,-6.800000000000001
574.0,-5.3
575.0,-5.5
576.0,-6.2
577.0,0.10000000000000009
578.0,-5.1
579.0,-5.5
580.0,-5.1
581.0,-6.5
582.0,-5.1
583.0,-5.9
584.0,-6.1
585.0,-5.2
586.0,-5.9
587.0,0.10000000000000009
588.0,-5.9
589.0,-5.8
590.0,-5.4
591.0,-6.1
592.0,-5.3
593.0,-0.19999999999999996
594.0,-5.1
595.0,-5.4
596.0,-5.2
597.0,-0.40000000000000013
598.0,-5.2
599.0,-5.2
