# Episodes, Rewards
0.0,-5.07
1.0,-5.03
2.0,-5.16
3.0,-5.16
4.0,-5.02
5.0,-5.04
6.0,-5.1
7.0,-5.04
8.0,-5.06
9.0,-5.02
10.0,-5.07
11.0,-1.0000000000000007
12.0,-5.04
13.0,-5.11
14.0,-5.05
15.0,-5.12
16.0,-5.48
17.0,-5.05
18.0,-5.11
19.0,-5.02
20.0,-5.04
21.0,-5.02
22.0,-5.11
23.0,-5.49
24.0,-5.1
25.0,-5.1
26.0,-5.29
27.0,-5.02
28.0,-5.34
29.0,-5.11
30.0,-5.12
31.0,-5.11
32.0,-5.05
33.0,-5.06
34.0,-5.16
35.0,-5.21
36.0,-5.13
37.0,-5.04
38.0,-5.04
39.0,-5.01
40.0,-5.02
41.0,-5.26
42.0,-5.05
43.0,-5.1
44.0,-5.15
45.0,-5.04
46.0,-5.02
47.0,-5.25
48.0,-5.03
49.0,-5.13
50.0,-5.15
51.0,-5.430000000000001
52.0,-5.99
53.0,-5.03
54.0,-5.8100000000000005
55.0,-5.1
56.0,-5.22
57.0,-5.18
58.0,-5.01
59.0,-1.0000000000000007
60.0,-5.06
61.0,-5.04
62.0,-5.470000000000001
63.0,-5.06
64.0,-5.05
65.0,-5.01
66.0,-5.03
67.0,-5.16
68.0,-5.08
69.0,-5.09
70.0,-5.1
71.0,-5.02
72.0,-5.09
73.0,-5.02
74.0,-5.630000000000001
75.0,-5.08
76.0,-5.18
77.0,-5.5
78.0,-5.13
79.0,-5.01
80.0,-5.01
81.0,-5.1
82.0,-5.12
83.0,-5.09
84.0,-5.13
85.0,-5.390000000000001
86.0,-5.03
87.0,-5.03
88.0,-5.07
89.0,-5.28
90.0,-5.09
91.0,-5.14
92.0,-5.08
93.0,-5.3100000000000005
94.0,-5.02
95.0,-5.02
96.0,-5.05
97.0,-5.04
98.0,-5.680000000000001
99.0,-5.38
100.0,-5.3100000000000005
101.0,-5.07
102.0,-5.470000000000001
103.0,-5.550000000000001
104.0,-5.05
105.0,-1.0000000000000007
106.0,-5.11
107.0,-5.19
108.0,-5.26
109.0,-5.08
110.0,-5.03
111.0,-5.16
112.0,-5.28
113.0,-5.05
114.0,-5.01
115.0,-5.03
116.0,-5.66
117.0,-5.13
118.0,-5.13
119.0,-1.0000000000000007
120.0,-5.08
121.0,-5.23
