# Episodes, Rewards
0.0,-6.0
1.0,-5.1
2.0,-5.4
3.0,-5.3
4.0,-6.0
5.0,-5.9
6.0,-5.2
7.0,-5.2
8.0,-5.9
9.0,-5.5
10.0,-5.5
11.0,-5.8
12.0,-5.5
13.0,-6.800000000000001
14.0,-6.0
15.0,-5.9
16.0,-5.2
17.0,-5.3
18.0,-5.7
19.0,-5.5
20.0,-7.600000000000001
21.0,-6.0
22.0,-5.7
23.0,-5.8
24.0,-5.4
25.0,-5.5
26.0,-6.6000000000000005
27.0,-6.4
28.0,-5.8
29.0,-5.7
30.0,-6.1
31.0,-5.1
32.0,-5.6
33.0,-5.5
34.0,-5.2
35.0,-6.0
36.0,-7.0
37.0,-5.3
38.0,-5.4
39.0,-6.1
40.0,-5.3
41.0,-5.1
42.0,-5.3
43.0,-6.4
44.0,-5.6
45.0,-5.6
46.0,-5.3
47.0,-6.5
48.0,-7.300000000000001
49.0,-5.2
50.0,-5.2
51.0,-5.3
52.0,-6.5
53.0,-5.1
54.0,-6.3
55.0,-5.4
56.0,-5.2
57.0,-6.9
58.0,-7.200000000000001
59.0,-6.4
60.0,-5.1
61.0,-8.000000000000002
62.0,-6.0
63.0,-5.1
64.0,-5.5
65.0,-6.2
66.0,-6.1
67.0,-5.1
68.0,-6.3
69.0,-5.2
70.0,-5.4
71.0,-6.4
72.0,-5.1
73.0,-5.6
74.0,-5.7
75.0,-6.5
76.0,-5.1
77.0,-5.3
78.0,-5.5
79.0,-5.7
80.0,-5.5
81.0,-5.6
82.0,-6.2
83.0,-5.5
84.0,-6.6000000000000005
85.0,-5.2
86.0,-5.1
87.0,-5.8
88.0,-5.2
89.0,-5.3
90.0,-5.7
91.0,-5.1
92.0,-5.7
93.0,-6.6000000000000005
94.0,-6.0
95.0,-5.4
96.0,-5.8
97.0,-5.8
98.0,-6.7
99.0,-5.4
100.0,-6.9
101.0,-5.1
102.0,-6.3
103.0,-5.6
104.0,-5.1
105.0,-5.9
106.0,-5.5
107.0,-6.2
108.0,-7.0
109.0,-5.3
110.0,-6.5
111.0,-5.3
112.0,-6.1
113.0,-5.2
114.0,-5.5
115.0,-5.6
116.0,-5.2
117.0,-5.6
118.0,-6.800000000000001
119.0,-6.0
120.0,-5.1
121.0,-5.6
122.0,-6.4
123.0,-5.5
124.0,-5.6
125.0,-5.9
126.0,-5.6
127.0,-5.5
128.0,-5.1
129.0,-5.8
130.0,-6.2
131.0,-5.8
132.0,-5.7
133.0,-5.5
134.0,-5.8
135.0,-6.1
136.0,-5.6
137.0,-5.7
138.0,-5.2
139.0,-5.4
140.0,-6.6000000000000005
141.0,-6.6000000000000005
142.0,-5.3
143.0,-5.2
144.0,-5.4
145.0,-5.6
146.0,-8.3
147.0,-6.9
148.0,-5.3
149.0,-5.9
150.0,-0.19999999999999996
151.0,-5.7
152.0,-5.1
153.0,-6.3
154.0,-5.5
155.0,-6.1
156.0,-5.9
157.0,-5.5
158.0,-5.4
159.0,-5.3
160.0,-5.1
161.0,-5.3
162.0,-5.7
163.0,-5.5
164.0,-6.3
165.0,-5.4
166.0,-6.1
167.0,-6.9
168.0,-6.7
169.0,-5.4
170.0,-6.0
171.0,-6.3
172.0,-5.3
173.0,-5.5
174.0,-5.1
175.0,-6.3
176.0,-5.1
177.0,-7.500000000000001
178.0,-5.5
179.0,-5.1
180.0,-5.8
181.0,-5.2
182.0,-6.4
183.0,-6.2
184.0,-6.5
185.0,-5.3
186.0,-5.5
187.0,-5.1
188.0,-6.4
189.0,-6.0
190.0,-6.9
191.0,-5.8
192.0,-6.3
193.0,-6.2
194.0,-5.3
195.0,-5.2
196.0,-5.1
197.0,-5.1
198.0,-6.1
199.0,-6.0
200.0,-5.4
201.0,-6.1
202.0,-5.7
