# Episodes, Rewards
0.0,-5.2
1.0,-5.1
2.0,-7.4
3.0,-5.2
4.0,-5.9
5.0,-5.7
6.0,-6.4
7.0,-5.6
8.0,-6.1
9.0,-5.5
10.0,-5.6
11.0,-5.1
12.0,-5.3
13.0,-5.8
14.0,-6.800000000000001
15.0,-5.2
16.0,-5.8
17.0,-5.2
18.0,-5.8
19.0,-5.1
20.0,-5.4
21.0,-5.4
22.0,-5.2
23.0,-5.4
24.0,-6.2
25.0,-5.5
26.0,-5.3
27.0,-5.5
28.0,-8.400000000000002
29.0,-5.3
30.0,-5.6
31.0,-5.6
32.0,-5.2
33.0,-5.3
34.0,-5.2
35.0,-7.700000000000001
36.0,-5.1
37.0,-5.9
38.0,-5.9
39.0,-5.9
40.0,-5.2
41.0,-5.2
42.0,0.10000000000000009
43.0,-5.5
44.0,-5.9
45.0,-5.4
46.0,-5.3
47.0,-5.4
48.0,-6.3
49.0,-6.4
50.0,-5.5
51.0,-5.6
52.0,-6.0
53.0,-6.1
54.0,-5.2
55.0,-1.4000000000000008
56.0,-5.3
57.0,-5.4
58.0,-5.3
59.0,-5.3
60.0,-6.0
61.0,-5.8
62.0,-5.4
63.0,-5.6
64.0,-5.8
65.0,-5.3
66.0,-5.6
67.0,-6.1
68.0,-5.5
69.0,-5.8
70.0,-5.6
71.0,0.10000000000000009
72.0,-6.9
73.0,-5.1
74.0,-6.1
75.0,-6.5
76.0,-5.4
77.0,-5.1
78.0,-7.1000000000000005
79.0,-5.9
80.0,-6.1
81.0,-5.8
82.0,-5.5
83.0,-5.5
84.0,-5.2
85.0,-5.7
86.0,-6.4
87.0,-5.8
88.0,-5.6
89.0,-5.2
90.0,-5.1
91.0,-5.2
92.0,-5.4
93.0,-5.2
94.0,-6.1
95.0,-5.6
96.0,-5.3
97.0,-7.0
98.0,-6.3
99.0,-5.3
100.0,-5.5
101.0,-5.1
102.0,-6.0
103.0,-6.0
104.0,-6.4
105.0,-5.1
106.0,-5.2
107.0,-5.3
108.0,-5.8
109.0,-6.9
110.0,-5.2
111.0,-6.0
112.0,-6.1
113.0,-5.1
114.0,-5.9
115.0,-5.2
116.0,-5.4
117.0,-5.2
118.0,-5.8
119.0,-5.7
120.0,-5.1
121.0,-6.1
122.0,-5.8
123.0,-6.7
124.0,-5.4
125.0,-5.8
126.0,-5.3
127.0,-5.3
128.0,-5.8
129.0,-5.1
130.0,-5.1
131.0,-5.4
132.0,-7.1000000000000005
133.0,-5.8
134.0,-5.6
135.0,-5.1
136.0,-5.6
137.0,-6.4
138.0,-5.3
139.0,-5.1
140.0,-5.8
141.0,-5.2
142.0,-7.0
143.0,-5.6
144.0,-5.2
145.0,-5.4
146.0,-5.1
147.0,-5.8
148.0,-5.2
149.0,-5.9
150.0,-5.6
151.0,-5.1
152.0,-6.0
153.0,-5.6
154.0,-5.8
155.0,-5.1
156.0,-5.2
157.0,-5.3
158.0,-5.6
159.0,-5.6
160.0,-5.7
161.0,-6.3
162.0,-5.7
163.0,-5.2
164.0,-5.4
165.0,-5.9
166.0,-5.6
167.0,-5.1
168.0,-5.6
169.0,-7.0
170.0,-5.4
171.0,-5.9
172.0,-5.4
173.0,-5.1
174.0,-5.3
175.0,-1.600000000000001
176.0,-5.6
177.0,-5.1
178.0,-5.7
179.0,-6.0
180.0,-5.3
181.0,-5.7
182.0,-6.5
183.0,-5.3
184.0,-6.2
185.0,-5.4
186.0,-5.9
187.0,-6.1
188.0,-5.2
189.0,-5.2
190.0,-0.09999999999999987
191.0,-5.3
192.0,-5.5
193.0,-6.0
194.0,-5.4
195.0,-5.5
196.0,-5.7
197.0,-5.6
198.0,-5.9
199.0,-5.5
200.0,-6.1
201.0,-5.4
202.0,-5.4
203.0,-6.800000000000001
