# Episodes, Rewards
0.0,-5.6
1.0,-5.9
2.0,-5.7
3.0,-5.5
4.0,-6.0
5.0,-5.5
6.0,-5.3
7.0,-6.7
8.0,-6.0
9.0,-5.4
10.0,-6.1
11.0,-5.3
12.0,-5.8
13.0,-5.1
14.0,-6.9
15.0,-5.1
16.0,-5.2
17.0,-5.1
18.0,-5.6
19.0,-5.1
20.0,-6.4
21.0,-6.1
22.0,-6.9
23.0,-5.7
24.0,-6.0
25.0,-5.5
26.0,-6.7
27.0,-7.800000000000001
28.0,-6.1
29.0,-6.6000000000000005
30.0,-5.4
31.0,-5.7
32.0,-5.7
33.0,-5.2
34.0,-5.9
35.0,-6.6000000000000005
36.0,-5.8
37.0,-5.8
38.0,-5.1
39.0,-5.2
40.0,-7.800000000000001
41.0,-5.6
42.0,-5.7
43.0,-5.7
44.0,-5.5
45.0,-5.6
46.0,-5.6
47.0,-5.9
48.0,-5.2
49.0,-5.9
50.0,-5.5
51.0,-5.2
52.0,-5.7
53.0,-5.2
54.0,-5.3
55.0,-5.6
56.0,-5.7
57.0,-5.2
58.0,-6.5
59.0,-5.1
60.0,-5.8
61.0,-6.800000000000001
62.0,-5.1
63.0,-5.8
64.0,-6.4
65.0,-5.4
66.0,-5.4
67.0,-5.5
68.0,-5.4
69.0,-5.6
70.0,-5.4
71.0,-5.4
72.0,-5.2
73.0,-5.7
74.0,-5.3
75.0,-6.9
76.0,-5.3
77.0,-5.4
78.0,-5.7
79.0,-5.4
80.0,-6.3
81.0,-5.8
82.0,-5.4
83.0,-5.1
84.0,-5.4
85.0,-5.8
86.0,-5.3
87.0,-6.2
88.0,-5.5
89.0,-5.4
90.0,-5.1
91.0,-5.4
92.0,-1.2000000000000006
93.0,-5.4
94.0,-5.6
95.0,-5.8
96.0,-5.6
97.0,-6.5
98.0,-5.7
99.0,-7.800000000000001
100.0,-5.8
101.0,-5.2
102.0,-6.2
103.0,-5.7
104.0,-5.8
105.0,-5.5
106.0,-5.3
107.0,-5.1
108.0,-5.6
109.0,-5.4
110.0,-5.9
111.0,-5.1
112.0,-5.5
113.0,-5.4
114.0,-5.7
115.0,-5.5
116.0,-6.1
117.0,-5.4
118.0,-5.3
119.0,-5.6
120.0,-5.5
121.0,-5.6
122.0,-5.1
123.0,-5.3
124.0,-5.3
125.0,-5.4
126.0,-6.6000000000000005
127.0,-5.7
128.0,-6.2
129.0,-6.1
130.0,-5.7
131.0,-5.5
132.0,-5.9
133.0,-5.2
134.0,-5.4
135.0,-5.3
136.0,-6.0
137.0,-5.6
138.0,-5.8
139.0,-5.3
140.0,-5.2
141.0,-5.4
142.0,-7.200000000000001
143.0,-5.5
144.0,-5.3
145.0,0.10000000000000009
146.0,-5.4
147.0,-5.1
148.0,-6.0
149.0,-6.2
150.0,-7.500000000000001
151.0,-5.2
152.0,-5.2
153.0,-5.3
154.0,-5.1
155.0,-5.3
156.0,-5.1
157.0,-5.3
158.0,-6.5
159.0,-7.0
160.0,-5.4
161.0,-5.7
162.0,-5.5
163.0,-5.1
164.0,-7.1000000000000005
165.0,-5.2
166.0,-6.6000000000000005
167.0,-6.7
168.0,-5.1
169.0,-5.2
170.0,-5.7
171.0,-6.0
172.0,-5.8
173.0,-7.0
174.0,1.1102230246251565e-16
175.0,-5.3
176.0,-6.0
177.0,-5.3
178.0,-5.1
179.0,-6.0
180.0,-6.0
181.0,-6.1
182.0,-5.7
183.0,-5.8
184.0,-5.4
185.0,-5.3
186.0,-5.2
187.0,-6.1
188.0,-5.3
189.0,-5.6
190.0,-5.2
191.0,-5.5
192.0,-5.4
193.0,-6.3
194.0,-5.9
195.0,-5.1
196.0,-5.3
197.0,-5.7
198.0,-5.5
199.0,-6.2
