# Episodes, Rewards
0.0,-9.4
1.0,-5.4
2.0,-5.6
3.0,-5.3
4.0,-5.6
5.0,-6.1
6.0,-7.300000000000001
7.0,-5.4
8.0,-6.5
9.0,-7.700000000000001
10.0,-6.800000000000001
11.0,-5.7
12.0,-6.7
13.0,-6.5
14.0,-5.2
15.0,-5.2
16.0,-6.7
17.0,-7.4
18.0,-6.800000000000001
19.0,-8.500000000000002
20.0,-6.2
21.0,-9.99999999999998
22.0,-5.2
23.0,-10.199999999999998
24.0,-6.6000000000000005
25.0,-9.99999999999998
26.0,-11.799999999999992
27.0,-9.000000000000002
28.0,-6.6000000000000005
29.0,-5.4
30.0,-9.99999999999998
31.0,-12.799999999999988
32.0,-6.0
33.0,-5.8
34.0,-6.1
35.0,-6.1
36.0,-5.2
37.0,-6.0
38.0,-5.5
39.0,-8.3
40.0,-5.5
41.0,-12.799999999999988
42.0,-7.4
43.0,-6.3
44.0,-5.5
45.0,-6.9
46.0,-5.3
47.0,-11.099999999999994
48.0,-9.5
49.0,-5.7
50.0,-9.99999999999998
51.0,-6.2
52.0,-5.5
53.0,-5.2
54.0,-11.599999999999993
55.0,-5.4
56.0,-6.7
57.0,-6.1
58.0,-5.4
59.0,-5.7
60.0,-6.3
61.0,-6.3
62.0,-5.8
63.0,-5.3
64.0,-5.3
65.0,-9.99999999999998
66.0,-5.8
67.0,-6.7
68.0,-5.7
69.0,-6.800000000000001
70.0,-5.5
71.0,-6.4
72.0,-7.500000000000001
73.0,-5.4
74.0,-6.9
75.0,-10.599999999999996
76.0,-6.5
77.0,-6.0
78.0,-6.800000000000001
79.0,-5.7
80.0,-7.700000000000001
81.0,-5.5
82.0,-8.000000000000002
83.0,-5.7
84.0,-5.2
85.0,-5.8
86.0,-5.9
87.0,-8.000000000000002
88.0,-8.200000000000001
89.0,-9.5
90.0,-7.800000000000001
91.0,-8.500000000000002
92.0,-6.6000000000000005
93.0,-8.500000000000002
94.0,-5.4
95.0,-5.8
96.0,-5.6
97.0,-5.7
98.0,-9.4
99.0,-14.099999999999984
100.0,-11.999999999999991
101.0,-5.7
102.0,-5.9
103.0,-5.9
104.0,-6.800000000000001
105.0,-7.600000000000001
106.0,-5.8
107.0,-10.699999999999996
108.0,-5.2
109.0,-7.200000000000001
110.0,-5.9
111.0,-5.9
112.0,-5.7
113.0,-9.899999999999999
114.0,-5.5
115.0,-5.5
116.0,-6.2
117.0,-7.600000000000001
118.0,-8.900000000000002
119.0,-5.8
120.0,-5.6
121.0,-7.700000000000001
122.0,-12.999999999999988
123.0,-6.0
124.0,-6.9
125.0,-6.2
126.0,-6.3
127.0,-6.1
128.0,-5.2
129.0,-14.099999999999984
130.0,-8.500000000000002
131.0,-8.100000000000001
132.0,-6.7
133.0,-9.99999999999998
134.0,-8.800000000000002
135.0,-10.899999999999995
136.0,-5.2
137.0,-5.9
138.0,-6.800000000000001
139.0,-5.9
140.0,-5.3
141.0,-10.399999999999997
142.0,-5.3
143.0,-10.399999999999997
144.0,-5.8
145.0,-5.5
146.0,-8.3
147.0,-10.499999999999996
148.0,-13.999999999999984
149.0,-6.1
150.0,-5.5
151.0,-7.900000000000001
152.0,-8.700000000000003
153.0,-6.0
154.0,-13.199999999999987
155.0,-11.899999999999991
156.0,-6.2
157.0,-6.4
158.0,-5.5
159.0,-5.6
160.0,-5.4
161.0,-9.99999999999998
162.0,-13.699999999999985
163.0,-9.5
164.0,-5.3
165.0,-6.2
166.0,-8.500000000000002
167.0,-5.8
168.0,-8.800000000000002
169.0,-5.8
170.0,-6.7
171.0,-8.000000000000002
172.0,-7.500000000000001
173.0,-13.199999999999987
174.0,-5.2
175.0,-14.399999999999983
176.0,-11.199999999999994
177.0,-10.999999999999995
178.0,-9.3
179.0,-5.9
180.0,-8.200000000000001
181.0,-9.99999999999998
182.0,-8.600000000000001
183.0,-5.8
184.0,-12.29999999999999
185.0,-6.0
186.0,-5.4
187.0,-5.2
188.0,-13.599999999999985
189.0,-11.399999999999993
190.0,-6.800000000000001
191.0,-5.3
192.0,-5.4
193.0,-5.8
194.0,-7.700000000000001
195.0,-10.099999999999998
196.0,-6.800000000000001
197.0,-11.599999999999993
198.0,-6.4
199.0,-7.700000000000001
200.0,-9.799999999999999
201.0,-9.000000000000002
202.0,-9.799999999999999
203.0,-5.8
204.0,-7.800000000000001
205.0,-8.200000000000001
206.0,-10.799999999999995
207.0,-5.7
208.0,-8.800000000000002
209.0,-5.3
210.0,-5.4
211.0,-12.29999999999999
212.0,-5.5
213.0,-7.200000000000001
214.0,-5.9
215.0,-5.5
216.0,-5.8
217.0,-6.800000000000001
218.0,-6.6000000000000005
219.0,-5.8
220.0,-9.99999999999998
221.0,-5.4
222.0,-7.300000000000001
223.0,-5.2
224.0,-13.899999999999984
225.0,-9.899999999999999
226.0,-6.5
227.0,-8.000000000000002
228.0,-6.800000000000001
229.0,-7.200000000000001
230.0,-8.200000000000001
231.0,-8.600000000000001
232.0,-7.200000000000001
233.0,-6.5
234.0,-5.2
235.0,-8.700000000000003
236.0,-11.899999999999991
237.0,-5.6
238.0,-5.8
239.0,-5.9
240.0,-12.899999999999988
241.0,-6.9
242.0,-5.4
243.0,-5.3
244.0,-5.7
245.0,-6.4
246.0,-5.7
247.0,-8.000000000000002
248.0,-5.3
249.0,-6.7
250.0,-6.1
251.0,-6.1
252.0,-6.3
253.0,-7.0
254.0,-7.800000000000001
255.0,-9.999999999999998
256.0,-5.3
257.0,-6.6000000000000005
258.0,-10.299999999999997
259.0,-9.7
260.0,-9.100000000000001
261.0,-5.8
262.0,-6.1
263.0,-7.900000000000001
264.0,-9.5
265.0,-9.99999999999998
266.0,-5.4
267.0,-5.4
268.0,-6.1
269.0,-6.3
270.0,-7.1000000000000005
271.0,-5.6
272.0,-9.99999999999998
273.0,-14.499999999999982
274.0,-7.200000000000001
275.0,-6.3
276.0,-5.4
277.0,-5.5
278.0,-9.999999999999998
279.0,-9.99999999999998
280.0,-9.99999999999998
281.0,-8.600000000000001
282.0,-12.599999999999989
283.0,-6.1
284.0,-13.899999999999984
285.0,-5.2
286.0,-6.6000000000000005
287.0,-14.099999999999984
288.0,-6.800000000000001
289.0,-5.5
290.0,-9.5
291.0,-6.5
292.0,-6.5
293.0,-6.0
294.0,-5.8
295.0,-11.599999999999993
296.0,-5.5
297.0,-7.900000000000001
298.0,-5.8
299.0,-5.3
300.0,-7.500000000000001
301.0,-6.3
302.0,-9.99999999999998
303.0,-6.7
304.0,-9.99999999999998
305.0,-9.99999999999998
306.0,-5.4
307.0,-7.300000000000001
308.0,-5.7
309.0,-5.6
310.0,-6.0
311.0,-9.4
312.0,-5.2
313.0,-10.999999999999995
314.0,-9.5
315.0,-5.4
316.0,-11.799999999999992
317.0,-5.2
318.0,-12.49999999999999
319.0,-6.4
320.0,-6.1
321.0,-9.200000000000001
322.0,-9.4
323.0,-13.499999999999986
324.0,-6.1
325.0,-5.5
326.0,-11.599999999999993
327.0,-9.4
328.0,-10.999999999999995
329.0,-6.1
330.0,-5.8
331.0,-6.5
332.0,-8.500000000000002
333.0,-13.399999999999986
334.0,-9.200000000000001
335.0,-5.7
336.0,-14.299999999999983
337.0,-9.99999999999998
338.0,-5.4
339.0,-7.0
340.0,-9.99999999999998
341.0,-6.9
342.0,-6.6000000000000005
343.0,-13.899999999999984
344.0,-5.5
345.0,-6.2
346.0,-9.100000000000001
347.0,-11.099999999999994
348.0,-9.899999999999999
349.0,-6.4
350.0,-9.999999999999998
351.0,-6.9
352.0,-12.29999999999999
353.0,-8.600000000000001
354.0,-8.3
355.0,-5.6
356.0,-8.900000000000002
357.0,-5.4
358.0,-13.499999999999986
359.0,-6.4
360.0,-5.7
361.0,-6.0
362.0,-6.6000000000000005
363.0,-5.2
364.0,-5.4
365.0,-11.099999999999994
366.0,-5.7
367.0,-9.99999999999998
368.0,-7.700000000000001
369.0,-9.99999999999998
370.0,-9.6
371.0,-8.900000000000002
