# Episodes, Rewards
0.0,-1.6000000000000003
1.0,-1.32
2.0,-1.16
3.0,-1.5600000000000003
4.0,-1.25
5.0,-1.24
6.0,-1.1099999999999999
7.0,-1.4600000000000002
8.0,-1.09
9.0,-1.3
10.0,-1.23
11.0,-1.05
12.0,-1.3900000000000001
13.0,-1.7500000000000004
14.0,-1.24
15.0,-1.3
16.0,-1.17
17.0,-1.4400000000000002
18.0,-1.5900000000000003
19.0,-1.32
20.0,-1.4600000000000002
21.0,-1.0000000000000007
22.0,-1.17
23.0,-1.4000000000000001
24.0,-1.27
25.0,-1.15
26.0,-1.28
27.0,-1.23
28.0,-1.13
29.0,-1.0000000000000007
30.0,-1.4700000000000002
31.0,-1.36
32.0,-1.6100000000000003
33.0,-1.1
34.0,-1.4900000000000002
35.0,-1.22
36.0,-1.4400000000000002
37.0,-1.24
38.0,-1.1
39.0,-1.06
40.0,-1.3800000000000001
41.0,-1.29
42.0,-1.2
43.0,-1.08
44.0,-1.35
45.0,-1.19
46.0,-1.25
47.0,-1.09
48.0,-1.14
49.0,-1.34
50.0,-1.09
51.0,-1.4000000000000001
52.0,-1.14
53.0,-1.14
54.0,-1.24
55.0,-1.23
56.0,-1.29
57.0,-1.09
58.0,-1.1099999999999999
59.0,-1.13
60.0,-1.25
61.0,-1.25
62.0,-1.15
63.0,-1.1
64.0,-1.1099999999999999
65.0,-1.08
66.0,-1.26
67.0,-1.19
68.0,-1.0000000000000007
69.0,-1.34
70.0,-1.4600000000000002
71.0,-1.4300000000000002
72.0,-1.17
73.0,-1.4000000000000001
74.0,-1.26
75.0,-1.29
76.0,-1.1099999999999999
77.0,-1.06
78.0,-1.06
79.0,-1.23
80.0,-1.23
81.0,-1.32
82.0,-1.0000000000000007
83.0,-1.33
84.0,-1.0000000000000007
85.0,-1.0000000000000007
86.0,-1.14
87.0,-1.0000000000000007
88.0,-1.19
89.0,-1.5100000000000002
90.0,-1.23
91.0,-1.26
92.0,-1.18
93.0,-1.0000000000000007
94.0,-1.14
95.0,-1.0000000000000007
96.0,-1.37
97.0,-1.0000000000000007
98.0,-1.4600000000000002
99.0,-1.16
100.0,-1.0000000000000007
101.0,-1.2
102.0,-1.0000000000000007
103.0,-1.32
104.0,-1.7800000000000005
105.0,-1.0000000000000007
106.0,-1.1199999999999999
107.0,-1.13
108.0,0.37999999999999967
109.0,-1.0000000000000007
110.0,0.0799999999999994
111.0,-1.07
112.0,-1.37
113.0,-1.31
114.0,-1.22
115.0,-1.3800000000000001
116.0,0.2899999999999996
117.0,-1.17
118.0,-1.6500000000000004
119.0,-1.14
120.0,-1.21
121.0,-1.26
122.0,-1.35
123.0,-1.13
124.0,-1.25
125.0,-1.3900000000000001
126.0,-1.3
127.0,-1.3900000000000001
128.0,0.5699999999999998
129.0,-1.17
130.0,0.5499999999999998
131.0,-1.31
132.0,-1.26
133.0,-1.4200000000000002
134.0,-1.21
135.0,-1.3
136.0,-1.15
137.0,-1.13
138.0,-1.5200000000000002
139.0,0.0799999999999994
140.0,-1.3900000000000001
141.0,-1.21
142.0,0.24999999999999956
143.0,0.5299999999999998
144.0,0.37999999999999967
145.0,0.74
146.0,0.6499999999999999
147.0,-1.21
148.0,-1.25
149.0,-1.5800000000000003
150.0,-1.2
151.0,-1.06
152.0,-1.08
153.0,0.5399999999999998
154.0,-1.5600000000000003
155.0,0.5899999999999999
156.0,0.71
157.0,-1.1
158.0,-1.09
159.0,-1.31
160.0,0.6399999999999999
161.0,-1.19
