# Episodes, Rewards
0.0,-5.13
1.0,-5.13
2.0,-5.2700000000000005
3.0,-5.01
4.0,-5.12
5.0,-5.05
6.0,-5.01
7.0,-5.46
8.0,-5.01
9.0,-5.08
10.0,-5.21
11.0,-5.06
12.0,-5.03
13.0,-5.01
14.0,-5.07
15.0,-5.16
16.0,-5.1
17.0,-5.13
18.0,-5.03
19.0,-5.17
20.0,-5.38
21.0,-1.0000000000000007
22.0,-5.65
23.0,-5.59
24.0,-5.04
25.0,-5.17
26.0,-5.02
27.0,-5.3500000000000005
28.0,-5.11
29.0,-5.29
30.0,-5.25
31.0,-5.13
32.0,-5.42
33.0,-5.06
34.0,-5.44
35.0,-5.02
36.0,-5.01
37.0,-5.15
38.0,-5.02
39.0,-5.07
40.0,-5.16
41.0,-5.07
42.0,-5.04
43.0,-5.21
44.0,-5.4
45.0,-5.1
46.0,-5.04
47.0,-5.09
48.0,-5.790000000000001
49.0,-5.21
50.0,-5.2
51.0,-5.7700000000000005
52.0,-5.25
53.0,-5.67
54.0,-5.710000000000001
55.0,-5.04
56.0,-5.12
57.0,-5.02
58.0,-5.09
59.0,-5.09
60.0,-5.04
61.0,-5.5
62.0,-5.05
63.0,-5.12
64.0,-5.02
65.0,-5.49
66.0,-5.08
67.0,-5.05
68.0,-5.2
69.0,-5.03
70.0,-5.720000000000001
71.0,-5.21
72.0,-5.02
73.0,-5.07
74.0,-5.06
75.0,-5.14
76.0,-5.12
77.0,-5.02
78.0,-5.4
79.0,-5.04
80.0,-5.07
81.0,-5.03
82.0,-5.02
83.0,-5.1
84.0,-5.06
85.0,-5.05
86.0,-5.16
87.0,-5.22
88.0,-1.0000000000000007
89.0,-5.06
90.0,-5.29
91.0,-5.16
92.0,-5.640000000000001
93.0,-5.04
94.0,-5.09
95.0,-5.09
96.0,-5.48
97.0,-5.09
98.0,-1.0000000000000007
99.0,-5.05
100.0,-5.550000000000001
101.0,-1.0000000000000007
102.0,-5.08
103.0,-5.680000000000001
104.0,-5.04
105.0,-5.38
106.0,-5.7700000000000005
107.0,-5.05
108.0,-1.0000000000000007
109.0,-5.29
110.0,-5.16
111.0,-5.03
112.0,-5.8500000000000005
113.0,-5.08
114.0,-5.1
115.0,-5.16
116.0,-5.01
117.0,-5.04
118.0,-5.38
119.0,-5.06
120.0,-5.28
121.0,-5.14
122.0,-5.3500000000000005
123.0,-5.15
124.0,-5.05
125.0,-5.1
126.0,-5.02
127.0,-5.390000000000001
128.0,-5.06
129.0,-5.06
130.0,-5.13
131.0,-5.75
132.0,-5.08
133.0,-5.01
134.0,-5.36
135.0,-5.12
136.0,-5.870000000000001
137.0,-5.02
138.0,-5.94
139.0,-5.7
140.0,-5.06
141.0,-5.18
142.0,-5.17
143.0,-5.04
144.0,-5.53
145.0,-5.01
146.0,-5.09
147.0,-5.11
148.0,-5.02
149.0,-5.04
150.0,-5.03
151.0,-5.01
152.0,-5.05
153.0,-5.3
154.0,-5.28
